WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
HARM,3.68,1.80,3.06,0.78,5.36,1.37,2.31,1.17,0.00
HARNESS,5.14,1.73,4.58,1.26,3.70,1.42,5.91,1.13,0.00
HARPSICHORD,5.43,1.31,5.11,1.10,3.01,1.23,6.60,0.68,0.00
HARVEST,5.68,1.32,3.22,0.95,4.66,1.27,5.60,1.10,0.00
HASTE,4.22,1.53,4.34,0.95,4.09,1.17,2.97,1.75,0.00
HATE,4.86,1.85,2.78,0.67,5.48,1.27,2.66,1.62,0.00
HAUL,4.05,1.64,4.56,1.01,4.01,1.31,3.83,1.66,0.38
HAVOC,5.11,1.67,4.69,0.91,4.62,1.29,3.37,1.66,0.00
HAY,6.03,1.35,2.97,0.69,4.86,1.33,6.60,0.59,0.00
HEAD,6.13,1.26,1.81,0.66,6.52,0.70,6.17,1.28,0.91
HEALTH,4.59,1.60,4.00,0.89,5.89,1.01,3.83,1.58,0.00
HEAP,5.00,1.68,3.19,0.84,5.19,1.32,5.03,1.56,0.00
HEART,6.24,1.05,2.81,1.00,5.93,1.03,6.37,0.96,0.77
HEAT,5.46,1.60,2.78,0.71,6.08,0.92,4.69,1.69,0.17
HEAVEN,4.73,1.97,2.72,0.96,5.38,1.37,2.89,1.98,0.00
HEDGE,5.89,1.20,3.06,1.00,4.87,1.38,6.51,0.81,0.29
HEIGHT,4.78,1.80,2.94,0.66,5.90,0.92,3.80,1.51,0.00
HELL,6.05,1.25,3.14,0.98,5.64,1.36,3.43,1.93,0.00
HELP,4.95,1.59,2.22,0.92,6.11,1.00,3.51,1.89,0.00
HEN,6.03,1.46,2.19,0.66,4.61,1.71,6.69,0.62,0.00
HENCHMAN,4.30,1.80,5.78,1.00,3.09,1.00,5.43,1.29,0.00
HERD,5.54,1.43,3.25,0.55,4.36,1.15,5.94,0.86,0.00
HERDSMAN,5.06,1.60,4.58,0.92,3.56,1.32,5.69,1.33,0.00
HERESY,3.35,1.71,6.28,0.84,3.34,1.22,2.60,1.34,0.00
HERO,5.11,1.77,3.61,0.76,4.73,1.53,4.40,1.87,0.00
HERRING,5.54,1.46,3.97,0.90,4.25,1.38,6.74,0.50,0.00
HESITATION,3.38,1.85,5.23,0.96,4.84,1.15,2.46,1.23,0.00
HIDE,4.65,1.89,2.56,0.96,5.17,1.30,4.77,1.85,0.88
HIERARCHY,4.23,1.66,6.33,0.67,4.31,1.37,3.40,1.53,0.00
HIGHWAY,5.54,1.35,4.36,0.85,3.85,1.33,5.77,1.29,0.00
HILL,6.13,1.40,2.56,0.60,5.85,1.14,6.20,0.92,0.00
HIND,4.30,2.09,4.69,1.27,4.16,1.44,4.91,1.90,1.13
HINT,3.83,1.95,4.08,0.86,5.61,1.22,2.60,1.42,0.00
HISTORY,4.38,1.89,3.69,0.81,5.51,1.23,3.20,1.80,0.00
HIVE,5.60,1.55,3.19,0.94,3.86,1.63,6.14,1.22,0.17
HOBBY,5.00,1.43,3.61,1.06,5.18,1.22,4.63,1.77,0.00
HOLD,4.24,1.75,2.67,0.94,6.07,1.13,4.29,1.73,1.07
HOLIDAY,6.35,0.96,2.58,0.68,5.85,1.00,4.51,1.66,0.00
HOME,6.19,1.09,2.33,0.67,6.44,0.89,5.54,1.46,0.00
HOMEMAKER,3.76,1.88,4.83,1.12,3.54,1.13,4.77,1.66,0.00
HONEY,6.22,1.14,2.86,0.63,4.99,1.45,6.63,0.68,0.34
HONOUR,3.51,1.59,4.39,0.79,5.04,1.25,2.57,1.40,0.00
HOOF,5.97,1.40,3.06,0.78,4.22,1.37,6.37,1.17,0.17
HOP,5.60,1.46,2.89,1.39,4.32,1.50,5.14,1.74,0.54
HORN,5.78,1.34,3.08,0.76,4.91,1.46,6.60,0.64,1.45
HORROR,5.51,1.27,3.72,0.87,5.01,1.52,3.40,1.57,0.00
HOSE,5.78,1.49,3.14,1.03,4.49,1.56,6.29,0.94,0.38
HOSPITAL,6.00,1.29,3.19,1.08,5.31,1.17,6.29,0.91,0.00
