WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
SECOND,3.84,1.90,2.89,0.81,6.32,0.84,3.20,1.83,1.04
SECRETARY,5.73,1.46,4.56,0.96,5.24,1.43,6.03,1.40,0.00
SECURITY,3.97,1.87,5.08,0.98,4.96,1.26,2.83,1.50,0.00
SEDATIVE,4.65,1.74,5.61,0.92,4.23,1.34,4.74,1.71,0.00
SEDUCTION,5.27,1.64,6.28,0.87,4.23,1.48,3.54,1.73,0.00
SEER,3.06,1.88,6.11,0.87,2.46,1.14,4.26,1.92,0.00
SEGMENT,4.86,1.58,4.28,0.96,4.51,1.25,5.03,1.48,0.00
SELECTION,3.17,1.69,4.39,1.03,5.23,1.20,3.26,1.42,0.54
SELF,4.72,1.89,3.28,1.19,6.04,1.21,4.74,1.87,0.00
SELFISHNESS,3.73,1.90,4.36,1.06,5.07,1.25,2.40,1.22,0.00
SELLER,4.43,1.94,3.81,0.84,4.61,1.21,4.97,1.78,0.00
SEMICIRCLE,5.32,1.79,4.53,0.87,4.43,1.43,4.57,1.83,0.00
SENDER,3.76,1.72,4.06,0.85,4.64,1.33,5.00,1.55,0.00
SENSE,3.78,1.80,3.36,0.89,6.19,1.12,3.23,1.67,1.55
SENTIMENT,3.49,1.84,5.14,0.85,4.58,1.25,2.51,1.59,0.00
SEPARATION,4.41,1.84,4.58,0.98,5.04,1.35,2.97,1.30,0.00
SEQUEL,3.59,1.88,5.56,0.86,4.01,1.31,3.43,1.71,0.00
SERIES,3.46,1.81,4.61,0.98,5.25,1.29,3.57,1.54,0.91
SERVANT,5.14,1.68,4.06,0.88,4.37,1.30,5.37,1.53,0.00
SERVICE,4.14,1.79,3.97,1.01,5.60,1.07,3.66,1.41,1.54
SETTLEMENT,4.54,1.76,4.78,0.79,4.60,1.10,4.09,1.70,1.16
SEVERANCE,3.22,1.79,6.03,1.01,3.54,1.32,3.06,1.62,0.00
SEX,5.95,1.33,4.50,1.09,6.23,0.86,5.06,1.37,0.98
SHADOW,5.89,1.06,3.11,0.74,5.48,1.27,4.69,1.85,0.00
SHAKER,4.14,1.63,4.33,1.05,3.70,1.16,4.89,1.70,0.96
SHAME,4.36,1.92,3.67,0.91,5.30,1.33,2.62,1.16,0.77
SHAPE,4.56,1.62,3.03,0.87,5.94,0.99,4.69,1.56,0.17
SHARPNESS,4.54,1.79,3.58,0.80,4.73,1.45,3.71,1.83,0.80
SHAWL,6.05,1.49,3.31,1.10,4.32,1.58,6.51,0.87,0.00
SHED,6.08,1.38,2.31,0.75,5.24,1.17,6.46,0.97,0.54
SHEET,6.00,1.45,2.51,0.65,6.16,1.06,6.43,1.08,0.99
SHEPHERD,6.06,1.18,2.75,0.79,4.35,1.43,6.31,0.85,0.00
SHIELD,5.62,1.44,3.50,0.73,4.64,1.44,6.06,1.37,1.16
SHIP,6.35,1.26,2.49,0.69,5.46,1.21,6.63,0.64,0.17
SHIRT,6.11,1.27,2.69,0.70,6.28,0.95,6.60,0.64,0.00
SHIVER,5.84,1.30,3.08,0.80,5.17,1.50,4.69,1.47,0.00
SHOP,5.76,1.32,2.36,0.75,6.56,0.91,6.26,1.00,0.17
SHORTAGE,4.11,1.72,4.14,0.98,5.54,1.13,3.54,1.78,0.00
SHOULDER,5.95,1.61,2.64,0.82,5.63,1.19,6.40,1.02,0.34
SHOWER,5.87,1.45,3.42,0.89,6.04,0.93,6.14,1.12,1.12
SHRIEK,5.30,1.52,4.06,1.25,4.20,1.37,4.54,1.59,0.00
SHRUB,5.62,1.24,3.83,1.24,4.46,1.33,6.20,1.01,0.00
SHRUG,5.03,1.58,4.08,0.92,4.81,1.48,4.31,1.41,0.00
SHUTTER,5.39,1.48,3.89,0.81,3.98,1.40,5.91,1.36,0.85
SICKNESS,4.89,1.74,3.56,1.26,5.03,1.34,4.34,1.51,0.00
SIEGE,4.51,1.76,5.03,1.12,3.45,1.34,4.26,1.63,0.00
SIGH,4.46,1.83,3.80,0.85,5.18,1.43,3.85,1.52,0.00
SIGNAL,5.19,1.43,3.67,0.94,5.07,1.32,4.80,1.65,0.00
SILENCE,5.19,1.71,3.33,0.78,5.62,1.15,3.69,1.72,0.00
SILVER,5.95,1.31,3.17,0.93,5.17,1.57,6.20,0.95,0.17
SIMILIARITY,3.22,1.47,4.67,0.78,5.30,1.21,2.71,1.36,0.00
SIMPER,3.35,1.76,5.56,1.14,2.75,1.05,3.34,1.72,0.00
SIN,4.57,1.95,4.00,0.97,4.94,1.44,2.69,1.88,0.00
SINGER,5.68,1.63,3.14,1.11,5.35,1.13,5.80,1.24,0.00
SINK,5.94,1.15,2.19,0.70,6.11,1.27,6.20,1.28,1.24
SIREN,5.84,1.17,3.47,1.21,4.31,1.38,5.63,1.42,0.71
SITUATION,3.38,1.71,4.57,0.87,5.85,1.21,3.00,1.49,0.00
SIXPENCE,6.08,1.34,2.49,0.65,3.96,1.48,6.14,1.44,0.00
SKETCH,5.11,1.35,4.11,0.84,4.61,1.37,5.60,1.38,0.34
SKILL,3.72,1.73,4.14,0.95,5.49,1.04,3.46,1.56,0.00
SKIRT,5.92,1.68,2.58,0.98,5.67,1.34,6.29,1.18,0.47
SKYLARK,5.54,1.55,3.94,1.22,3.50,1.47,6.49,1.02,0.00
SLANG,4.11,1.69,4.64,0.89,4.91,1.39,3.51,1.59,0.00
SLAVE,5.41,1.68,3.86,0.89,4.06,1.39,5.46,1.48,0.47
SLEEVE,5.72,1.41,2.72,0.80,5.77,1.23,6.43,0.84,0.00
SLICE,5.49,1.43,2.92,1.01,5.73,1.09,4.74,1.52,0.00
SLIME,5.89,1.48,4.08,1.06,3.84,1.25,5.80,1.24,0.00
SLIT,5.14,1.61,3.64,0.63,4.87,1.50,5.43,1.46,0.00
SLOUGH,2.51,1.59,6.03,0.87,2.72,1.13,4.06,1.90,0.00
SLUMBER,5.06,1.65,4.19,0.74,3.67,1.17,3.91,1.68,0.00
SMASH,5.24,1.73,2.78,0.95,5.36,1.15,4.09,1.71,0.92
SMILE,6.33,0.91,2.08,0.64,6.20,1.00,5.26,1.46,0.00
SMOKE,6.41,0.91,2.28,0.69,6.15,1.18,5.83,1.34,0.95
SMUT,4.32,1.83,5.56,1.19,3.30,1.13,4.63,1.61,0.00
SNAKE,6.32,0.96,2.89,0.77,4.57,1.52,6.51,1.02,0.00
SNEER,5.00,1.58,4.67,0.94,3.98,1.44,3.74,1.71,0.00
SNORT,4.78,1.69,4.33,1.18,4.01,1.39,4.34,1.62,0.92
SNUB,3.54,1.87,5.22,1.11,3.86,1.33,2.71,1.56,0.00
SOAP,6.11,1.31,2.22,0.71,6.31,1.03,6.40,0.87,0.00
SOCIETY,4.46,1.95,4.97,0.83,6.01,0.97,3.34,1.72,0.00
SOCK,6.14,1.32,1.72,0.65,6.12,1.06,6.47,0.92,0.17
SOIL,5.76,1.62,3.47,1.24,4.83,1.42,6.14,1.07,0.65
SOLD,3.97,2.14,3.08,0.68,5.67,1.77,2.89,1.79,0.00
SOLDIER,6.19,1.11,2.75,0.86,5.07,1.13,6.14,1.20,0.00
SOLEMNITY,3.43,1.82,5.97,1.12,3.42,1.25,2.51,1.46,0.00
SOLUTION,3.97,1.95,5.06,0.97,5.48,1.21,3.94,1.79,0.91
SOMERSAULT,5.68,1.25,3.69,1.08,4.02,1.23,5.00,1.49,0.00
SONG,6.11,1.06,2.42,0.76,6.19,0.92,5.34,1.58,0.00
SOP,3.00,1.97,5.36,1.46,2.59,1.26,3.77,2.00,0.00
SOPRANO,5.41,1.57,5.19,0.97,3.73,1.20,5.17,1.58,0.00
SORROW,4.35,1.76,3.94,0.85,4.86,1.33,2.74,1.68,0.00
SOUND,4.84,1.57,3.00,0.67,6.27,0.84,4.69,1.54,0.34
SOUTHLAND,2.30,1.66,5.58,1.26,2.30,1.21,3.77,1.90,0.00
SPACE,5.30,1.71,3.19,1.05,5.73,1.21,4.00,1.76,0.93
SPAN,3.87,2.04,4.56,1.09,4.45,1.30,3.97,1.66,1.11
SPARE,3.22,2.03,3.64,0.89,5.52,1.47,3.09,1.76,0.73
SPASM,4.92,1.95,5.58,1.04,4.22,1.43,4.51,1.30,0.00
SPECIALIST,4.54,1.87,5.17,1.01,4.95,1.35,5.06,1.77,0.00
SPECK,5.17,1.62,3.53,0.87,4.49,1.45,5.18,1.64,0.00
SPEECH,4.54,1.82,3.69,1.05,5.34,1.48,4.66,1.51,1.00
SPELL,4.35,1.88,2.92,0.86,5.25,1.44,3.80,1.80,1.30
SPERM,5.54,1.69,5.97,0.76,3.95,1.48,6.09,1.08,0.00
SPIKE,5.78,1.14,3.53,0.96,4.46,1.33,6.17,0.94,0.00
SPIRIT,5.30,1.33,3.89,0.77,5.17,1.28,3.34,2.22,1.46
SPITE,4.11,1.78,4.42,0.95,4.59,1.33,2.51,1.54,0.00
SPLIT,4.51,1.80,3.81,0.97,5.14,1.24,4.26,1.61,0.55
SPOKE,5.22,1.60,3.28,0.69,5.14,1.39,6.09,1.18,0.72
SPOON,6.30,1.01,1.86,0.63,6.45,1.12,6.54,0.80,0.00
SPOT,5.56,1.48,2.61,0.64,5.86,1.08,5.69,1.33,1.49
SPREE,4.16,1.92,5.31,1.00,4.04,1.44,3.46,1.29,0.00
SPRINT,5.32,1.43,4.28,0.93,4.61,1.35,4.20,1.79,0.00
SPURT,4.97,1.59,4.06,0.74,4.17,1.25,4.26,1.52,1.21
SQUARE,6.16,1.35,2.50,0.65,5.91,1.18,5.43,1.63,0.71
SQUIRE,4.65,1.96,5.25,1.11,3.23,1.29,5.23,1.59,0.00
STABLE,5.87,1.40,2.92,0.80,5.10,1.40,6.34,1.37,0.85
STAFF,4.84,1.57,4.03,0.80,5.77,1.19,5.37,1.57,0.48
STAIN,5.03,1.67,3.11,0.61,5.48,1.36,5.49,1.27,0.00
STALK,4.89,1.43,4.22,1.03,4.04,1.17,5.57,1.40,1.13
STANDARD,3.19,1.66,4.72,0.99,5.48,1.25,3.21,1.73,0.84
STANZA,4.08,1.91,6.17,0.90,3.37,1.45,4.71,1.67,0.00
STARCH,4.84,2.11,4.89,1.17,4.28,1.27,5.66,1.49,1.52
STATEMENT,3.92,1.73,4.81,0.94,5.05,1.24,3.83,1.66,0.67
STATION,5.76,1.38,3.00,0.88,5.76,1.00,6.14,0.90,0.99
STATUE,5.68,1.45,4.06,1.10,4.44,1.35,6.34,0.95,0.00
STEAK,6.49,0.89,3.29,0.88,5.32,1.34,6.69,0.62,0.00
STEAM,5.70,1.49,3.08,0.68,5.51,1.25,5.54,1.38,0.00
STEEPLE,5.97,1.33,3.61,0.89,3.86,1.35,6.21,1.32,0.00
STEP,5.32,1.54,2.67,0.67,6.07,1.04,5.43,1.48,1.68
STEPPINGSTONE,5.59,1.34,3.92,1.14,3.48,1.31,6.06,1.33,0.00
STEW,5.84,1.42,2.83,0.65,5.10,1.25,6.49,0.69,0.29
STILE,5.08,1.88,4.44,1.59,3.69,1.33,5.88,1.69,0.00
STING,5.59,1.40,2.61,0.89,4.80,1.61,5.31,1.53,0.00
STIPEND,2.19,1.47,6.50,0.80,2.46,1.24,4.03,1.83,0.00
STOAT,4.89,1.75,4.17,0.87,3.52,1.29,6.57,0.69,0.00
STOIC,3.46,1.99,6.39,0.86,3.02,1.17,3.00,1.53,0.00
STOOL,5.92,1.38,2.03,0.73,5.69,1.31,6.49,1.02,0.17
STORK,5.76,1.42,3.56,0.72,3.93,1.35,6.49,0.81,0.47
STOVE,5.92,1.36,2.97,0.80,4.59,1.71,6.37,1.02,0.17
STRAIN,4.08,1.89,4.22,1.00,5.33,1.27,3.37,1.49,1.47
STRANGER,4.60,1.65,3.22,0.79,5.22,1.37,4.54,1.84,0.35
STRAW,5.78,1.44,2.89,0.77,4.83,1.28,6.46,0.94,0.38
STRENGTH,4.78,1.91,3.25,0.89,5.69,1.08,3.54,1.63,0.00
STRIDE,4.68,1.25,4.39,1.18,4.38,1.37,4.17,1.38,0.00
STRIPE,5.68,1.42,3.08,1.01,4.57,1.60,5.77,1.29,0.00
STROP,2.14,1.68,6.47,0.87,2.36,1.20,3.66,1.90,0.00
STRUT,4.43,1.76,5.11,1.02,3.68,1.29,4.40,1.74,0.17
STUDENT,6.27,1.11,4.81,0.99,6.56,0.80,5.63,1.40,0.00
STUMP,5.05,1.54,3.72,0.93,4.07,1.20,5.89,1.04,1.66
STYLE,4.27,1.73,4.19,0.91,5.49,1.19,3.06,1.43,0.00
SUBALTERN,2.73,1.93,6.75,0.49,2.24,0.93,4.26,2.02,0.00
SUBJECT,4.24,1.58,4.17,1.01,5.90,1.15,4.14,1.59,1.37
SUBMARINE,5.87,1.28,3.81,0.91,4.05,1.56,6.26,1.16,0.00
SUBSECTION,2.89,1.50,6.31,0.74,3.30,1.29,3.71,1.72,0.00
SUBSTANCE,3.54,2.03,4.83,1.01,5.06,1.23,4.97,1.75,0.17
SUBSTITUTE,3.73,1.64,4.64,1.08,5.09,1.17,3.69,1.63,0.00
SUBSTRATUM,2.50,1.80,6.61,0.95,2.33,1.23,3.65,1.86,0.00
SUCCESS,4.49,1.52,4.11,0.91,5.68,1.15,2.88,1.76,0.00
SUCCOUR,3.03,1.62,6.14,0.82,2.82,1.11,3.03,1.70,0.00
SUDS,5.30,1.67,3.69,1.17,3.99,1.48,5.54,1.27,0.00
SUFFERANCE,3.32,1.59,5.97,0.87,3.69,1.25,2.49,1.50,0.00
SUGGESTION,3.51,1.67,4.61,0.89,5.64,1.18,3.31,1.58,0.00
SUITE,5.00,1.80,4.58,1.04,4.40,1.49,5.46,1.44,0.00
SUM,4.62,1.78,2.78,0.63,5.41,1.23,4.11,1.91,1.31
SUMMER,6.24,1.08,2.53,0.60,6.12,0.90,4.51,1.57,0.00
SUN,6.73,0.55,1.81,0.62,6.59,0.54,6.40,0.90,0.00
SUNLIGHT,6.49,0.72,2.89,0.88,5.23,1.42,5.37,1.44,0.00
SUNSHINE,6.61,0.72,2.06,0.85,6.27,0.87,5.51,1.25,0.00
SUPERFLUITY,2.38,1.65,6.47,0.76,2.49,1.10,2.23,1.04,0.00
SUPPER,6.16,1.03,2.50,0.87,6.13,0.81,6.20,0.89,0.00
SUPPLY,3.46,1.59,4.17,0.87,5.34,1.20,3.71,1.60,0.00
SUPPOSITION,2.76,1.48,6.19,0.78,3.96,1.27,2.71,1.47,0.00
SURFACE,4.59,1.70,3.78,0.85,5.73,1.20,4.60,1.78,0.54
SURPRISE,4.57,1.70,3.22,0.82,5.83,1.06,3.23,1.48,0.00
SURRENDER,4.38,1.84,3.86,1.11,4.88,1.06,3.57,1.70,0.00
SUSPECT,3.83,1.97,4.72,1.02,4.88,1.35,3.83,1.92,1.50
SUSPICION,3.92,1.96,4.78,0.75,4.70,1.34,2.54,1.27,0.00
SWALLOW,5.78,1.45,3.08,1.09,5.00,1.37,6.20,1.14,0.85
SWARD,2.13,1.88,6.50,0.76,1.55,0.78,3.66,1.91,0.00
SWEEP,5.19,1.62,2.81,0.97,4.80,1.39,4.82,1.99,1.15
SWELL,4.16,1.52,4.28,1.04,4.43,1.51,4.20,1.35,0.99
SWIM,5.92,1.40,2.56,0.68,5.42,1.54,4.91,1.63,0.00
SWORD,5.95,1.35,3.42,0.86,4.17,1.52,6.54,0.77,0.00
SYCAMORE,5.68,1.42,3.81,1.15,3.69,1.48,6.40,1.20,0.00
SYLLABLE,3.81,1.94,4.97,0.96,4.73,1.40,3.63,1.74,0.00
SYMPATHY,4.08,1.82,4.64,0.85,5.01,1.28,2.69,1.53,0.00
SYNOD,2.35,1.68,6.83,0.44,2.15,1.00,4.06,2.04,0.00
SYSTEM,3.46,1.78,4.61,0.95,5.88,0.99,3.57,1.81,0.00
TABLESPOON,6.06,1.37,2.58,0.95,5.85,1.27,6.18,1.34,0.00
TACK,5.35,1.63,3.63,0.86,4.32,1.48,5.91,1.42,1.01
TAILOR,5.05,1.86,3.78,0.75,4.17,1.31,5.60,1.53,0.00
TALENT,4.05,1.80,4.19,0.91,5.23,1.18,2.83,1.61,0.00
TALLY,3.14,1.53,5.36,1.00,3.74,1.28,3.29,1.73,0.00
TAP,5.51,1.78,2.22,0.79,6.22,1.22,6.06,1.31,1.22
TAPE,5.24,1.65,4.06,1.13,5.64,1.22,5.91,1.34,1.16
TARN,3.05,2.14,6.06,1.10,2.51,1.15,4.06,2.11,0.00
TASK,4.16,1.65,3.92,0.86,5.14,1.18,4.17,1.78,0.00
TAX,4.65,1.88,4.69,0.94,5.19,1.29,4.66,2.00,0.00
TEACHER,6.00,1.43,2.47,0.50,5.96,1.19,6.29,1.03,0.00
TEAR,5.97,1.13,2.64,0.71,5.65,1.33,5.60,1.40,1.00
TECHNICALITY,2.68,1.49,6.08,0.80,3.90,1.28,3.03,1.61,0.00
TELEGRAPH,5.24,1.57,4.36,0.82,4.60,1.34,5.74,1.44,0.00
TEMPER,4.95,1.83,3.33,0.78,5.75,0.98,3.54,1.70,0.00
TEMPTATION,3.97,1.88,4.54,1.02,4.94,1.30,2.54,1.44,0.00
TENDENCY,2.49,1.50,5.25,0.98,5.20,1.28,2.20,1.21,0.00
TENT,6.27,1.08,2.83,0.73,4.94,1.35,6.60,0.64,0.00
TERM,4.27,1.60,3.94,0.97,5.88,1.05,3.86,1.87,1.37
TERRITORY,4.51,1.57,4.86,0.92,4.65,1.13,4.74,1.61,0.00
TERROR,4.89,1.71,3.81,0.88,4.95,1.31,3.23,1.55,0.00
TEXT,4.43,1.79,4.86,1.25,5.11,1.44,5.18,1.54,0.00
THANE,2.57,1.78,6.42,0.72,2.31,0.92,3.86,2.03,0.00
THAW,5.24,1.34,3.81,0.88,4.84,1.34,3.97,1.73,0.00
THEFT,4.53,1.62,3.86,1.00,4.56,1.56,3.57,1.52,0.00
THEOLOGIAN,3.81,2.18,6.69,0.52,3.40,1.43,4.40,1.84,0.00
THEORY,3.08,1.87,5.57,0.96,5.41,1.12,2.66,1.49,0.00
THERMOMETER,5.78,1.63,3.89,1.06,4.70,1.50,6.54,0.94,0.00
THICKET,4.84,1.70,4.69,0.84,3.82,1.16,6.11,0.82,0.00
THIEF,5.13,1.51,3.22,0.82,5.11,1.27,5.32,1.55,0.00
THINKER,4.11,1.97,4.08,1.04,4.74,1.16,4.11,1.80,0.00
THISTLE,6.30,0.96,3.33,0.75,4.63,1.36,6.46,0.81,0.00
THONG,4.54,1.98,5.53,0.96,3.35,1.40,5.69,1.51,0.00
THOUGHT,3.78,2.02,3.47,0.96,6.36,0.87,2.66,1.94,0.00
THREAD,5.86,1.58,2.67,0.78,5.52,1.24,6.40,0.90,0.17
THREAT,4.41,1.75,3.94,0.66,5.15,1.25,3.43,1.76,0.00
THRILL,4.89,1.72,4.03,0.87,5.04,1.36,3.17,1.42,0.00
THROW,4.73,1.90,2.64,0.86,5.62,1.21,3.89,1.82,0.00
THUMB,6.05,1.47,1.83,0.69,6.01,1.36,6.77,0.54,0.00
THYME,5.03,1.87,5.78,1.00,3.38,1.18,6.63,0.80,0.00
TICKET,6.22,1.17,2.94,0.66,6.18,1.07,6.20,1.21,0.00
TIDE,5.62,1.55,3.31,0.74,4.89,1.31,5.29,1.48,0.39
TIMBER,5.59,1.36,4.03,0.76,4.40,1.26,6.09,1.25,0.00
TIN,5.38,1.63,2.86,0.79,5.75,1.28,6.26,1.10,0.97
TING,3.22,2.42,4.92,1.88,1.90,1.11,3.51,1.83,0.00
TIP,4.81,1.69,3.28,0.93,5.01,1.36,4.74,1.76,2.29
TITLE,4.19,1.69,3.75,0.86,5.23,1.13,3.89,1.64,0.88
TOBACCO,6.13,1.04,3.66,1.15,5.27,1.44,6.57,0.65,0.00
TOE,6.11,1.37,1.94,0.66,5.71,1.28,6.49,0.81,0.00
TOKEN,4.22,1.69,4.50,0.83,4.73,1.36,4.83,1.72,1.69
TOMB,5.92,1.28,4.11,0.70,4.07,1.30,6.06,1.17,0.00
TON,4.70,1.67,3.86,0.89,4.65,1.47,4.37,1.93,0.00
TOOL,5.41,1.76,3.00,0.78,5.19,1.45,6.17,1.13,0.00
TOPIC,4.00,1.82,4.83,0.96,4.95,1.32,3.69,1.85,0.82
TORMENT,3.92,2.07,4.72,1.39,3.98,1.39,2.80,1.72,0.00
TORTURE,5.86,1.45,4.08,1.06,4.48,1.35,4.49,1.75,0.00
TOUCH,4.62,1.76,2.69,0.74,5.90,1.27,4.26,1.63,0.57
TOWER,5.81,1.39,3.53,0.90,4.78,1.35,6.09,1.08,0.45
TOY,5.83,1.42,1.64,0.63,5.41,1.35,6.29,0.94,0.17
TRACK,5.05,1.59,3.83,0.93,5.14,1.23,5.74,1.00,2.36
TRADITION,3.76,1.71,4.86,0.98,5.13,1.04,2.54,1.70,0.00
TRAIL,4.84,1.64,3.86,0.71,4.69,1.42,5.06,1.33,1.45
TRANCE,5.05,1.63,4.81,0.70,4.40,1.25,3.71,1.70,0.00
TRANSFER,3.19,1.84,4.89,1.22,5.02,1.23,3.29,1.84,0.97
TRANSFORMER,4.05,1.96,5.92,1.09,3.97,1.32,5.40,1.81,0.65
TRANSLATION,3.46,1.60,5.56,0.83,4.95,1.24,3.69,1.55,0.00
TRANSPORTATION,4.11,1.96,5.28,0.99,4.18,1.44,3.74,1.78,0.00
TRAVELLER,4.97,1.52,3.64,0.86,4.94,1.21,5.11,1.63,0.00
TREATMENT,4.14,1.74,4.33,0.97,5.29,1.15,3.43,1.59,0.57
TREATY,3.27,1.52,5.36,1.08,3.72,1.27,3.63,1.66,0.00
TREMOR,4.97,1.44,5.11,0.88,4.01,1.39,5.06,1.39,0.00
TRIAL,5.05,1.69,4.33,1.08,4.81,1.44,4.03,1.65,1.05
TRICK,4.65,1.70,3.08,0.76,5.31,1.31,3.97,1.72,1.49
TRIM,3.84,1.62,3.67,1.03,4.56,1.60,3.94,1.79,1.18
TRIP,4.95,1.86,3.14,0.79,5.43,1.33,4.54,1.75,1.30
TRIUMPH,5.11,1.75,4.58,0.83,4.57,1.26,3.14,1.71,1.23
TROOP,4.76,1.46,4.06,1.13,4.30,1.29,5.14,1.44,0.57
TROUBLE,4.11,1.61,3.22,0.82,5.98,0.91,3.17,1.52,0.66
TROUT,6.00,1.21,3.94,1.00,4.44,1.48,6.74,0.44,0.00
TRUNK,5.35,1.80,3.28,1.04,4.85,1.47,6.29,1.00,1.47
TRUST,3.57,1.97,4.00,0.94,5.38,1.30,2.49,1.52,0.38
TRY,3.54,1.97,2.29,0.91,6.51,0.97,2.49,1.54,0.38
TUCK,4.22,1.82,3.42,1.28,4.52,1.31,4.49,1.71,1.43
TUMBLE,4.57,1.50,3.50,1.07,4.44,1.31,4.14,1.53,0.00
TUNIC,5.42,1.55,4.06,1.05,3.66,1.45,6.12,1.18,0.00
TURN,4.03,1.91,2.33,0.62,6.04,1.19,3.77,1.64,1.79
TURNER,3.51,1.31,5.17,1.14,3.68,1.36,4.77,1.84,1.99
TUSH,1.49,1.03,6.56,0.96,1.57,0.74,2.79,1.59,0.00
TWEED,5.46,1.57,4.19,1.22,4.29,1.46,6.00,1.35,0.34
TWILIGHT,6.13,1.17,4.11,0.91,4.14,1.34,4.29,1.67,0.00
TYPE,3.59,1.84,3.83,0.76,5.67,1.36,3.03,1.65,0.88
TYPEWRITER,6.03,1.30,3.89,0.97,4.90,1.31,6.63,0.68,0.00
TYRANT,5.00,1.76,4.92,1.01,3.87,1.20,4.83,1.73,0.00
ULCER,5.22,1.76,5.17,0.87,4.23,1.46,5.86,1.36,0.00
UMBRELLA,6.05,1.39,3.06,0.81,4.78,1.45,6.60,0.76,0.00
UNANIMITY,2.22,1.47,6.61,0.59,2.69,1.16,2.37,1.24,0.00
UNBELIEF,3.38,1.81,4.89,1.02,3.66,1.52,2.49,1.61,0.00
UNBELIEVER,3.51,1.95,4.86,0.79,3.83,1.65,3.63,1.91,0.00
UNCERTAINTY,2.89,1.81,5.22,0.85,4.51,1.23,2.23,1.12,0.00
UNCLE,5.51,1.85,1.92,0.76,5.57,1.04,6.06,1.04,0.00
UNCONCERN,3.28,1.76,5.03,0.90,3.80,1.31,2.40,1.31,0.00
UNCTION,2.19,1.54,6.69,0.52,2.39,1.15,3.03,1.58,0.00
UNDERBRUSH,3.13,1.82,5.75,1.14,2.51,1.01,4.86,1.79,0.00
UNDERGRADUATE,5.24,1.63,6.39,0.79,5.30,1.36,5.20,1.43,0.00
UNDERSTANDING,3.83,1.88,4.42,1.11,5.59,1.24,2.59,1.40,0.00
UNDERTAKING,2.84,1.37,5.19,0.91,4.30,1.08,2.94,1.67,1.40
UNDOING,2.89,1.47,4.39,1.11,3.96,1.30,2.46,1.36,1.45
UNDULATION,3.75,1.82,6.14,0.98,3.09,1.31,3.71,1.52,0.00
UNEASINESS,4.17,1.89,4.75,0.98,4.51,1.50,2.14,1.29,0.00
UNHAPPINESS,4.67,1.73,3.53,1.04,4.94,1.55,2.20,1.39,0.00
UNIFICATION,3.28,1.95,6.47,0.76,3.56,1.52,2.18,1.25,0.00
UNIFORM,5.97,1.24,3.31,1.13,4.84,1.19,5.77,1.42,0.81
UNION,5.32,1.61,5.03,1.01,5.95,0.95,4.63,1.88,0.00
UNIT,3.43,2.12,4.11,0.99,5.22,1.31,3.60,1.81,1.29
UNIVERSITY,6.43,0.82,4.97,1.01,6.37,0.96,5.49,1.42,0.00
UNKNOWN,3.03,1.98,4.06,1.03,5.48,1.21,2.06,1.31,0.00
UNPLEASANTNESS,4.31,1.93,4.39,0.92,4.41,1.61,2.54,1.64,0.00
UNREALITY,3.36,1.99,5.25,1.06,4.09,1.57,1.57,0.84,0.00
UNREST,3.76,1.81,4.81,0.99,4.10,1.42,2.83,1.36,0.00
UNSELFISHNESS,3.32,1.73,5.11,1.15,4.36,1.36,2.14,1.17,0.00
UPHEAVAL,4.30,1.66,4.94,1.15,3.90,1.25,3.17,1.44,0.00
UPHOLSTERY,4.84,1.79,5.08,1.16,3.80,1.39,6.00,1.04,0.00
UPRIGHT,4.35,1.85,4.36,1.08,4.63,1.30,3.31,1.54,0.00
UPSET,4.06,1.96,3.29,0.70,5.37,1.25,2.74,1.40,1.01
URCHIN,5.35,1.80,4.69,1.02,3.32,1.13,5.97,1.38,0.73
URN,5.59,1.50,4.42,0.89,3.61,1.31,6.40,0.90,0.00
USUAL,2.41,1.51,3.53,0.69,6.04,1.08,2.21,1.08,0.00
USURY,1.95,1.90,6.78,0.48,1.76,0.94,2.94,1.39,0.00
UTTERANCE,3.19,1.90,5.39,1.11,3.57,1.12,3.60,1.40,0.00
VACATION,5.65,1.46,4.58,0.83,4.95,1.34,4.23,1.44,0.00
VALE,4.89,1.70,4.81,0.97,3.60,1.52,5.26,1.54,0.00
VALLEY,6.16,1.08,3.39,0.68,4.87,1.39,6.03,1.13,0.00
VALUE,2.95,1.52,4.33,1.13,5.52,1.26,2.49,1.42,0.00
VAN,5.78,1.32,2.67,0.62,5.42,1.41,6.40,0.90,0.00
VAPOUR,5.11,1.59,5.33,1.03,4.74,1.35,4.91,1.57,0.00
VARIETY,3.78,1.86,4.64,0.85,5.33,1.22,2.91,1.38,0.00
VASE,6.03,1.35,2.97,0.69,4.64,1.38,6.40,0.99,0.00
VEGETABLE,6.03,1.05,2.69,0.78,6.09,0.95,6.43,0.77,0.00
VEIL,5.35,1.70,4.14,0.92,4.00,1.25,5.97,1.25,0.29
VELVETEEN,4.76,2.30,6.36,0.95,2.38,1.13,5.77,1.29,0.00
VENOM,4.81,1.87,5.31,1.10,3.94,1.27,4.62,1.68,0.00
VENTURE,4.05,1.78,4.92,0.83,4.61,1.11,2.89,1.51,0.84
VERB,3.27,1.88,4.36,0.82,5.18,1.42,3.31,1.88,0.00
VERITY,2.46,1.67,6.11,0.87,2.95,1.06,2.60,1.50,0.00
